@,dirka,mal,2024
14,2,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2512.048
15,1,J. Zarco,CASTROL HONDA LCR,2513.562
16,0,J. Miller,RED BULL KTM FACTORY RACING,2515.107
17,0,T. Nakagami,IDEMITSU HONDA LCR,2521.047
18,0,A. Fernandez,RED BULL GASGAS TECH3,2522.408
19,0,B. Binder,RED BULL KTM FACTORY RACING,2560.571
@,dirka,rsm,2024
1,25,M. Marquez,GRESINI RACING MOTOGP,2512.083
2,20,F. Bagnaia,DUCATI LENOVO TEAM,2515.185
3,16,E. Bastianini,DUCATI LENOVO TEAM,2517.511
4,13,B. Binder,RED BULL KTM FACTORY RACING,2526.268
5,11,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2528.808
6,10,A. Marquez,GRESINI RACING MOTOGP,2529.665
7,9,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2529.725
8,8,J. Miller,RED BULL KTM FACTORY RACING,2531.410
9,7,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2540.029
10,6,P. Espargaro,RED BULL KTM FACTORY RACING,2550.864
11,5,M. Oliveira,TRACKHOUSE RACING,2558.469
12,4,J. Zarco,CASTROL HONDA LCR,2574.720
13,3,T. Nakagami,IDEMITSU HONDA LCR,2582.800
14,2,S. Bradl,HRC TEST TEAM,2589.630
15,1,J. Martin,PRIMA PRAMAC RACING,2512.083
16,0,M. Viales,APRILIA RACING,2512.083
17,0,P. Acosta,RED BULL GASGAS TECH3,2512.083
18,0,R. Fernandez,TRACKHOUSE RACING,2512.083
19,0,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2512.083
@,dirka,ara,2024
1,25,M. Marquez,GRESINI RACING MOTOGP,2507.082
2,20,J. Martin,PRIMA PRAMAC RACING,2511.871
3,16,P. Acosta,RED BULL GASGAS TECH3,2521.986
4,13,B. Binder,RED BULL KTM FACTORY RACING,2523.541
5,11,E. Bastianini,DUCATI LENOVO TEAM,2525.858
6,10,F. Morbidelli,PRIMA PRAMAC RACING,2527.631
7,9,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2531.841
8,8,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2544.241
9,7,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2546.502
10,6,A. Espargaro,APRILIA RACING,2547.684
11,5,T. Nakagami,IDEMITSU HONDA LCR,2548.864
12,4,A. Fernandez,RED BULL GASGAS TECH3,2549.165
13,3,J. Zarco,CASTROL HONDA LCR,2550.346
14,2,J. Mir,REPSOL HONDA TEAM,2556.817
15,1,J. Miller,RED BULL KTM FACTORY RACING,2563.048
16,0,R. Fernandez,TRACKHOUSE RACING,2580.404
17,0,L. Marini,REPSOL HONDA TEAM,2619.468
@,dirka,aut,2024
1,25,F. Bagnaia,DUCATI LENOVO TEAM,2531.173
2,20,J. Martin,PRIMA PRAMAC RACING,2534.405
3,16,E. Bastianini,DUCATI LENOVO TEAM,2538.530
4,13,M. Marquez,GRESINI RACING MOTOGP,2545.009
5,11,B. Binder,RED BULL KTM FACTORY RACING,2549.793
6,10,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2552.379
7,9,M. Viales,APRILIA RACING,2555.495
8,8,F. Morbidelli,PRIMA PRAMAC RACING,2558.850
9,7,A. Espargaro,APRILIA RACING,2560.002
10,6,A. Marquez,GRESINI RACING MOTOGP,2561.441
11,5,P. Espargaro,RED BULL KTM FACTORY RACING,2561.699
12,4,M. Oliveira,TRACKHOUSE RACING,2561.875
13,3,P. Acosta,RED BULL GASGAS TECH3,2564.909
14,2,T. Nakagami,IDEMITSU HONDA LCR,2567.483
15,1,A. Fernandez,RED BULL GASGAS TECH3,2567.695
16,0,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2568.744
17,0,J. Mir,REPSOL HONDA TEAM,2571.605
